AEnd EMS,AEnd ME,AEnd Port,ZEnd EMS,ZEnd ME,ZEnd Port,LinkRate,Direction
ASN-SN10,WPA2/FPSN23,WPA2/FPSN23-OUT,ASN-SN10,TSN2-FPSN23-SSA2-R21-3,TSN2-FPSN23-SSA2-R21-3/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSA2-R21-3,TSN2-FPSN23-SSA2-R21-3/B-OUT,ASN-SN10,WPA2/FPSN23,WPA2/FPSN23-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSA2-R21-3,TSN2-FPSN23-SSA2-R21-3/A-OUT,ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN23-SSA2-R21-3,TSN2-FPSN23-SSA2-R21-3/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/DROP-A-OUT,ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/ADD-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/DROP-OUT,ASN-SN10,TSN2-FPSN23-SSD2-R23-3,TSN2-FPSN23-SSD2-R23-3/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSD2-R23-3,TSN2-FPSN23-SSD2-R23-3/B-OUT,ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/ADD-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSD2-R23-3,TSN2-FPSN23-SSD2-R23-3/A-OUT,ASN-SN10,WPC2/FPSN23,WPC2/FPSN23-IN,OMS,UNI
ASN-SN10,WPC2/FPSN23,WPC2/FPSN23-OUT,ASN-SN10,TSN2-FPSN23-SSD2-R23-3,TSN2-FPSN23-SSD2-R23-3/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/ADD-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/DROP-B-OUT,ASN-SN10,TSN2-FPSN23-ROADM2-3,TSN2-FPSN23-ROADM2-3/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN23-SSB2-R22-3,TSN2-FPSN23-SSB2-R22-3/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSB2-R22-3,TSN2-FPSN23-SSB2-R22-3/B-OUT,ASN-SN10,TSN2-FPSN23-BU2-3,TSN2-FPSN23-BU2-3/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN23-SSB2-R22-3,TSN2-FPSN23-SSB2-R22-3/A-OUT,ASN-SN10,WPB2/FPSN23,WPB2/FPSN23-IN,OMS,UNI
ASN-SN10,WPB2/FPSN23,WPB2/FPSN23-OUT,ASN-SN10,TSN2-FPSN23-SSB2-R22-3,TSN2-FPSN23-SSB2-R22-3/B-IN,OMS,UNI
ASN-SN10,WPB2/FPSN23-M,WPB2/FPSN23-M-OUT,ASN-SN10,FPB2/FPSN23-M,FPB2/FPSN23-M-IN,OMS,UNI
ASN-SN10,FPB2/FPSN23-M,FPB2/FPSN23-M-OUT,ASN-SN10,WPB2/FPSN23-M,WPB2/FPSN23-M-IN,OMS,UNI
ASN-SN10,WPB2/FPSN23-S,WPB2/FPSN23-S-OUT,ASN-SN10,FPB2/FPSN23-S,FPB2/FPSN23-S-IN,OMS,UNI
ASN-SN10,FPB2/FPSN23-S,FPB2/FPSN23-S-OUT,ASN-SN10,WPB2/FPSN23-S,WPB2/FPSN23-S-IN,OMS,UNI
ASN-SN10,WPA/FPSN1,WPA/FPSN1-OUT,ASN-SN10,TSN1-FPSN1-SSA-R11-1,TSN1-FPSN1-SSA-R11-1/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSA-R11-1,TSN1-FPSN1-SSA-R11-1/B-OUT,ASN-SN10,WPA/FPSN1,WPA/FPSN1-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSA-R11-1,TSN1-FPSN1-SSA-R11-1/A-OUT,ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/TRUNK-B-OUT,ASN-SN10,TSN1-FPSN1-SSA-R11-1,TSN1-FPSN1-SSA-R11-1/B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/DROP-A-OUT,ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/TRUNK-B-OUT,ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/ADD-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/DROP-OUT,ASN-SN10,TSN1-FPSN1-SSD-R13-1,TSN1-FPSN1-SSD-R13-1/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSD-R13-1,TSN1-FPSN1-SSD-R13-1/B-OUT,ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/ADD-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSD-R13-1,TSN1-FPSN1-SSD-R13-1/A-OUT,ASN-SN10,WPC/FPSN1,WPC/FPSN1-IN,OMS,UNI
ASN-SN10,WPC/FPSN1,WPC/FPSN1-OUT,ASN-SN10,TSN1-FPSN1-SSD-R13-1,TSN1-FPSN1-SSD-R13-1/B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/TRUNK-A-OUT,ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/ADD-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/DROP-B-OUT,ASN-SN10,TSN1-FPSN1-ROADM1-1,TSN1-FPSN1-ROADM1-1/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/TRUNK-A-OUT,ASN-SN10,TSN1-FPSN1-SSB-R12-1,TSN1-FPSN1-SSB-R12-1/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSB-R12-1,TSN1-FPSN1-SSB-R12-1/B-OUT,ASN-SN10,TSN1-FPSN1-BU1-1,TSN1-FPSN1-BU1-1/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN1-SSB-R12-1,TSN1-FPSN1-SSB-R12-1/A-OUT,ASN-SN10,WPB/FPSN1,WPB/FPSN1-IN,OMS,UNI
ASN-SN10,WPB/FPSN1,WPB/FPSN1-OUT,ASN-SN10,TSN1-FPSN1-SSB-R12-1,TSN1-FPSN1-SSB-R12-1/B-IN,OMS,UNI
ASN-SN10,WPA/FPSN2,WPA/FPSN2-OUT,ASN-SN10,TSN1-FPSN2-SSA-R11-2,TSN1-FPSN2-SSA-R11-2/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSA-R11-2,TSN1-FPSN2-SSA-R11-2/B-OUT,ASN-SN10,WPA/FPSN2,WPA/FPSN2-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSA-R11-2,TSN1-FPSN2-SSA-R11-2/A-OUT,ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/TRUNK-B-OUT,ASN-SN10,TSN1-FPSN2-SSA-R11-2,TSN1-FPSN2-SSA-R11-2/B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/DROP-A-OUT,ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/TRUNK-B-OUT,ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/ADD-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/DROP-OUT,ASN-SN10,TSN1-FPSN2-SSD-R13-2,TSN1-FPSN2-SSD-R13-2/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSD-R13-2,TSN1-FPSN2-SSD-R13-2/B-OUT,ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/ADD-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSD-R13-2,TSN1-FPSN2-SSD-R13-2/A-OUT,ASN-SN10,WPC/FPSN2,WPC/FPSN2-IN,OMS,UNI
ASN-SN10,WPC/FPSN2,WPC/FPSN2-OUT,ASN-SN10,TSN1-FPSN2-SSD-R13-2,TSN1-FPSN2-SSD-R13-2/B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/TRUNK-A-OUT,ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/ADD-A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/DROP-B-OUT,ASN-SN10,TSN1-FPSN2-ROADM1-2,TSN1-FPSN2-ROADM1-2/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/TRUNK-A-OUT,ASN-SN10,TSN1-FPSN2-SSB-R12-2,TSN1-FPSN2-SSB-R12-2/A-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSB-R12-2,TSN1-FPSN2-SSB-R12-2/B-OUT,ASN-SN10,TSN1-FPSN2-BU1-2,TSN1-FPSN2-BU1-2/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN1-FPSN2-SSB-R12-2,TSN1-FPSN2-SSB-R12-2/A-OUT,ASN-SN10,WPB/FPSN2,WPB/FPSN2-IN,OMS,UNI
ASN-SN10,WPB/FPSN2,WPB/FPSN2-OUT,ASN-SN10,TSN1-FPSN2-SSB-R12-2,TSN1-FPSN2-SSB-R12-2/B-IN,OMS,UNI
ASN-SN10,WPA2/FPSN21,WPA2/FPSN21-OUT,ASN-SN10,TSN2-FPSN21-SSA2-R21-1,TSN2-FPSN21-SSA2-R21-1/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSA2-R21-1,TSN2-FPSN21-SSA2-R21-1/B-OUT,ASN-SN10,WPA2/FPSN21,WPA2/FPSN21-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSA2-R21-1,TSN2-FPSN21-SSA2-R21-1/A-OUT,ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN21-SSA2-R21-1,TSN2-FPSN21-SSA2-R21-1/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/DROP-A-OUT,ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/ADD-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/DROP-OUT,ASN-SN10,TSN2-FPSN21-SSD2-R23-1,TSN2-FPSN21-SSD2-R23-1/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSD2-R23-1,TSN2-FPSN21-SSD2-R23-1/B-OUT,ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/ADD-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSD2-R23-1,TSN2-FPSN21-SSD2-R23-1/A-OUT,ASN-SN10,WPC2/FPSN21,WPC2/FPSN21-IN,OMS,UNI
ASN-SN10,WPC2/FPSN21,WPC2/FPSN21-OUT,ASN-SN10,TSN2-FPSN21-SSD2-R23-1,TSN2-FPSN21-SSD2-R23-1/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/ADD-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/DROP-B-OUT,ASN-SN10,TSN2-FPSN21-ROADM2-1,TSN2-FPSN21-ROADM2-1/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN21-SSB2-R22-1,TSN2-FPSN21-SSB2-R22-1/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSB2-R22-1,TSN2-FPSN21-SSB2-R22-1/B-OUT,ASN-SN10,TSN2-FPSN21-BU2-1,TSN2-FPSN21-BU2-1/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN21-SSB2-R22-1,TSN2-FPSN21-SSB2-R22-1/A-OUT,ASN-SN10,WPB2/FPSN21,WPB2/FPSN21-IN,OMS,UNI
ASN-SN10,WPB2/FPSN21,WPB2/FPSN21-OUT,ASN-SN10,TSN2-FPSN21-SSB2-R22-1,TSN2-FPSN21-SSB2-R22-1/B-IN,OMS,UNI
ASN-SN10,WPA2/FPSN22,WPA2/FPSN22-OUT,ASN-SN10,TSN2-FPSN22-SSA2-R21-2,TSN2-FPSN22-SSA2-R21-2/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-SSA2-R21-2,TSN2-FPSN22-SSA2-R21-2/B-OUT,ASN-SN10,WPA2/FPSN22,WPA2/FPSN22-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-SSA2-R21-2,TSN2-FPSN22-SSA2-R21-2/A-OUT,ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN22-SSA2-R21-2,TSN2-FPSN22-SSA2-R21-2/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/DROP-A-OUT,ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/TRUNK-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/TRUNK-B-OUT,ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/ADD-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/DROP-OUT,ASN-SN10,TSN2-FPSN22-SSD2-R23-2,TSN2-FPSN22-SSD2-R23-2/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-SSD2-R23-2,TSN2-FPSN22-SSD2-R23-2/B-OUT,ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/ADD-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-SSD2-R23-2,TSN2-FPSN22-SSD2-R23-2/A-OUT,ASN-SN10,WPC2/FPSN22,WPC2/FPSN22-IN,OMS,UNI
ASN-SN10,WPC2/FPSN22,WPC2/FPSN22-OUT,ASN-SN10,TSN2-FPSN22-SSD2-R23-2,TSN2-FPSN22-SSD2-R23-2/B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/ADD-A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/DROP-B-OUT,ASN-SN10,TSN2-FPSN22-ROADM2-2,TSN2-FPSN22-ROADM2-2/TRUNK-B-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/TRUNK-A-OUT,ASN-SN10,TSN2-FPSN22-SSB2-R22-2,TSN2-FPSN22-SSB2-R22-2/A-IN,OMS,UNI
ASN-SN10,TSN2-FPSN22-SSB2-R22-2,TSN2-FPSN22-SSB2-R22-2/B-OUT,ASN-SN10,TSN2-FPSN22-BU2-2,TSN2-FPSN22-BU2-2/TRUNK-B-IN,OMS,UNI
